file,function,occurrence,classification,retained or removed,justification,metadata/config replacement,follow-up status
protocol_audit.py,_protocol_participant_id,participant identity parsed by dataset name,shared scientific logic,removed,Replaced with YAML protocol participant_id_from strategies,protocol.participant_id_from,done
protocol_audit.py,_protocol_session_id,session identity parsed by dataset name,shared scientific logic,removed,Replaced with YAML protocol session_id_from strategies,protocol.session_id_from,done
group_tables.py,infer_session_label,HIIT and mindfulness filename session parsing,shared scientific logic,removed,Upstream normalized session_id is authoritative,normalized session_id,done
null_delta_inference.py,resolve_biological_keys,HIIT session subject special case,shared scientific logic,removed,Generic participant_unit_id or participant-within-session rule,participant_unit_id,done
artifact_controls.py,participant_duration_sensitivity_effects,HIIT participant/session special case,shared scientific logic,removed,Generic analysis_unit_id or normalized participant/session rule,analysis_unit_id,done
capability_resolution.py,resolve_effective_capabilities,raw REST/TETRIS/PRE/POST token inference,shared scientific logic,removed,Observed YAML condition semantics,normalization.condition_semantics,done
figures.py,FIGURE1_PANEL_D/E/F_NOTE,HIIT PH/PS PRE/POST Rest–Tetris caption prose,display text,removed,Replaced with low-/high-demand and pre-/post-intervention language,format_role_display + sensitivity_display_title,done
figures.py,FIGURE2_PANEL_C/E_NOTE,Rest/Task and HIIT sensitivity caption prose,display text,removed,General state and sensitivity language; L/H sample-size labels,FIGURE2_PANEL_*_NOTE constants,done
figures.py,FIGURE2_PANEL_*_SENSITIVITY_NOTE,HIIT Sensitivity Rest–Tetris PRE/POST PH/PS notes,display text,removed,Renamed to FIGURE2_PANEL_*_SENSITIVITY_NOTE with general language; HIIT_* names kept as deprecated aliases,sensitivity_display_title,done
figures.py,figure3_caption / audit_note,HIIT-specific surrogate count and session subject_id wording,display text,removed,Generic observation×draw wording; session-condition analysis units,dataset display + sample_size_label,done
figures.py,DATASET_DISPLAY hiit/hiit_ph/hiit_ps,dataset display names,configuration,retained,Explicit dataset identity labels for plots; not scientific branching,DATASET_DISPLAY / YAML dataset id,retained
figure1_panels.py,changelog / panel notes,HIIT PH/PS PRE/POST manuscript notes,display text,removed,General sensitivity-cohort and session-condition wording,FIGURE1_PANEL_*_NOTE,done
figure1_panels.py,analysis_keys hiit_display/hiit_surrogate,machine export tags for HIIT display aggregation,historical compatibility alias,retained,Required for existing figure-source manifests; not manuscript prose,hiit_session_* helpers (HIIT YAML contrast set),retained-deprecated
figure2_panels.py,panel titles/captions/changelog,HIIT Sensitivity and Rest–Tetris narrative,display text,removed,Sensitivity display (HIIT) titles via sensitivity_display_title; general captions,sensitivity_display_title + FIGURE2_*_SENSITIVITY_NOTE,done
figure2_panels.py,filter_hiit_*/collapse_hiit_*/hiit_matched_*,HIIT contrast-set aggregation for sensitivity curves,display aggregation,retained,Accepted HIIT display regression; contrast IDs from HIIT YAML,HIIT_ALL_CONTRASTS / hiit.yaml conditions,retained
figure2_panels.py,Panel E legend R/T Rest/Task,Rest/Task legend and sample-size prefixes,display text,removed,Low-/high-demand labels via format_role_display; L/H prefixes,format_role_display,done
forest_display.py,hiit_session_* helpers,HIIT PH/PS display aggregation,display aggregation,retained,Accepted HIIT forest regression; excluded from PRIMARY_META pooling,HIIT YAML contrast/condition sets,retained
forest_display.py,HIIT_FOREST_DISPLAY_LABEL,HIIT [S] row label,configuration,retained,Dataset-specific descriptive label for sensitivity forest row,DATASET_DISPLAY / HIIT_FOREST_DISPLAY_LABEL,retained
panel_e_nuisance_modality.py,module docstring / UNAVAILABLE_TABLE / captions / axis label,Rest/Tetris and HIIT-only modality prose,display text,removed,Low-/high-demand language; modality constant within dataset,PANEL_E captions + UNAVAILABLE_TABLE,done
panel_e_nuisance_modality.py,rest_*/tetris_* observation columns,legacy Rest/Tetris source column names,historical compatibility alias,retained,Canonical low_demand_*/high_demand_* added; rest_*/tetris_* kept and marked deprecated,obs_export_fields dual columns,retained-deprecated
panel_f_topography_gamma.py,MAP_TITLES / panel_f_caption / unavailable control reason,Rest/Task and HIIT PPG-only display prose,display text,removed,Low-/high-demand titles and captions; PPG-only framed as modality capability,MAP_TITLES + panel_f_caption,done
panel_f_topography_gamma.py,MAP_* ids / state=task_minus_rest / rest_alpha,legacy map ids and state tokens,historical compatibility alias,retained,Export/cache identity tokens; display titles generalized separately,MAP_REST_ALPHA / MAP_TASK_ATTENUATION,retained-deprecated
